earth , jupiter , mars , venus , saturn , mercury , uranus , neptune , sun 
0.926220 0.360994 0.000069 , 2.543760 -4.436837 -0.038506 , 1.317694 0.509559 -0.021842 , -0.181841 0.703306 0.019793 , 5.135083 -8.569415 -0.055432 , 0.344396 -0.151700 -0.044984 , 15.539770 12.239459 -0.155862 , 29.411176 -5.471287 -0.565139 , -0.006093 0.006431 0.000089 
0.890710 0.439719 0.000067 , 2.575957 -4.416158 -0.039312 , 1.293745 0.580253 -0.019773 , -0.278522 0.671009 0.024929 , 5.157438 -8.555117 -0.056571 , 0.352275 -0.006993 -0.033882 , 15.527450 12.253986 -0.155648 , 29.413939 -5.455762 -0.565522 , -0.006130 0.006405 0.000090 
0.848446 0.515182 0.000064 , 2.608011 -4.395234 -0.040116 , 1.266425 0.649458 -0.017651 , -0.369743 0.625392 0.029566 , 5.179754 -8.540755 -0.057709 , 0.303113 0.139851 -0.017373 , 15.515115 12.268501 -0.155435 , 29.416693 -5.440236 -0.565906 , -0.006166 0.006380 0.000091 
0.799720 0.586797 0.000062 , 2.639920 -4.374065 -0.040917 , 1.235840 0.717014 -0.015485 , -0.453670 0.567359 0.033612 , 5.202031 -8.526329 -0.058847 , 0.193976 0.260814 0.002523 , 15.502765 12.283004 -0.155221 , 29.419439 -5.424708 -0.566289 , -0.006202 0.006354 0.000092 
0.744873 0.654003 0.000060 , 2.671682 -4.352654 -0.041717 , 1.202102 0.782764 -0.013278 , -0.528616 0.498068 0.036985 , 5.224269 -8.511839 -0.059985 , 0.040947 0.325979 0.021885 , 15.490400 12.297495 -0.155007 , 29.422177 -5.409178 -0.566672 , -0.006238 0.006328 0.000093 
0.684298 0.716269 0.000059 , 2.703296 -4.331001 -0.042514 , 1.165329 0.846565 -0.011038 , -0.593078 0.418908 0.039618 , 5.246469 -8.497286 -0.061122 , -0.122412 0.321109 0.036472 , 15.478020 12.311975 -0.154793 , 29.424906 -5.393647 -0.567054 , -0.006274 0.006301 0.000094 
0.618434 0.773097 0.000057 , 2.734758 -4.309106 -0.043308 , 1.125648 0.908280 -0.008771 , -0.645766 0.331471 0.041458 , 5.268628 -8.482668 -0.062259 , -0.263288 0.255321 0.044019 , 15.465626 12.326443 -0.154578 , 29.427628 -5.378115 -0.567437 , -0.006309 0.006275 0.000095 
0.547766 0.824029 0.000056 , 2.766069 -4.286972 -0.044101 , 1.083190 0.967782 -0.006482 , -0.685633 0.237514 0.042469 , 5.290749 -8.467988 -0.063395 , -0.363367 0.150003 0.044593 , 15.453216 12.340899 -0.154364 , 29.430341 -5.362581 -0.567819 , -0.006345 0.006248 0.000096 
0.472821 0.868648 0.000055 , 2.797224 -4.264598 -0.044890 , 1.038090 1.024951 -0.004176 , -0.711893 0.138926 0.042631 , 5.312830 -8.453244 -0.064530 , -0.417776 0.026303 0.039476 , 15.440792 12.355343 -0.154149 , 29.433046 -5.347045 -0.568202 , -0.006380 0.006221 0.000097 
0.394164 0.906585 0.000055 , 2.828224 -4.241985 -0.045678 , 0.990488 1.079680 -0.001861 , -0.724041 0.037684 0.041942 , 5.334871 -8.438436 -0.065665 , -0.428984 -0.099504 0.030224 , 15.428353 12.369775 -0.153935 , 29.435743 -5.331508 -0.568584 , -0.006415 0.006194 0.000098 
0.312393 0.937521 0.000054 , 2.859065 -4.219136 -0.046462 , 0.940527 1.131869 0.000459 , -0.721858 -0.064187 0.040418 , 5.356871 -8.423565 -0.066800 , -0.402431 -0.215864 0.018280 , 15.415899 12.384195 -0.153720 , 29.438432 -5.315970 -0.568966 , -0.006450 0.006167 0.000099 
0.228135 0.961194 0.000055 , 2.889746 -4.196051 -0.047245 , 0.888352 1.181425 0.002778 , -0.705415 -0.164655 0.038090 , 5.378832 -8.408632 -0.067934 , -0.344471 -0.314614 0.004894 , 15.403430 12.398603 -0.153505 , 29.441113 -5.300430 -0.569347 , -0.006485 0.006139 0.000100 
0.142042 0.977395 0.000055 , 2.920265 -4.172730 -0.048024 , 0.834112 1.228269 0.005091 , -0.675071 -0.261726 0.035006 , 5.400753 -8.393635 -0.069068 , -0.261665 -0.389784 -0.008845 , 15.390946 12.412999 -0.153289 , 29.443785 -5.284889 -0.569729 , -0.006520 0.006112 0.000102 
