earth , jupiter 
0.926220 0.360994 0.000069 , 2.543760 -4.436837 -0.038506 
0.903337 0.413698 0.000067 , 2.565240 -4.423078 -0.039043 
0.877447 0.464894 0.000064 , 2.586657 -4.409210 -0.039580 
0.848632 0.514409 0.000059 , 2.608009 -4.395232 -0.040116 
0.816984 0.562075 0.000053 , 2.629298 -4.381145 -0.040650 
0.782604 0.607729 0.000047 , 2.650521 -4.366950 -0.041184 
0.745603 0.651212 0.000039 , 2.671678 -4.352647 -0.041717 
0.706099 0.692375 0.000030 , 2.692769 -4.338235 -0.042248 
0.664219 0.731070 0.000021 , 2.713793 -4.323716 -0.042779 
0.620100 0.767159 0.000010 , 2.734749 -4.309090 -0.043308 
0.573884 0.800509 -0.000001 , 2.755638 -4.294356 -0.043837 
0.525722 0.830995 -0.000013 , 2.776458 -4.279515 -0.044364 
0.475771 0.858499 -0.000026 , 2.797209 -4.264568 -0.044890 
0.424198 0.882911 -0.000039 , 2.817890 -4.249514 -0.045415 
0.371172 0.904127 -0.000053 , 2.838501 -4.234355 -0.045939 
0.316874 0.922054 -0.000068 , 2.859041 -4.219089 -0.046462 
0.261487 0.936605 -0.000083 , 2.879509 -4.203719 -0.046984 
0.205202 0.947704 -0.000099 , 2.899906 -4.188243 -0.047504 
0.148215 0.955283 -0.000115 , 2.920230 -4.172663 -0.048024 
0.090730 0.959285 -0.000132 , 2.940481 -4.156978 -0.048542 
0.032954 0.959660 -0.000148 , 2.960658 -4.141189 -0.049058 
-0.024901 0.956373 -0.000165 , 2.980762 -4.125296 -0.049574 
-0.082616 0.949396 -0.000182 , 3.000790 -4.109300 -0.050089 
-0.139970 0.938716 -0.000199 , 3.020743 -4.093201 -0.050602 
-0.196735 0.924329 -0.000216 , 3.040620 -4.076998 -0.051114 
-0.252681 0.906247 -0.000233 , 3.060421 -4.060694 -0.051624 
-0.307576 0.884492 -0.000250 , 3.080145 -4.044287 -0.052133 
-0.361183 0.859104 -0.000266 , 3.099792 -4.027779 -0.052641 
-0.413264 0.830134 -0.000282 , 3.119360 -4.011169 -0.053148 
-0.463580 0.797651 -0.000298 , 3.138850 -3.994458 -0.053653 
-0.511891 0.761739 -0.000313 , 3.158260 -3.977646 -0.054157 
-0.557960 0.722499 -0.000328 , 3.177591 -3.960734 -0.054660 
-0.601549 0.680050 -0.000342 , 3.196842 -3.943722 -0.055161 
-0.642425 0.634529 -0.000356 , 3.216011 -3.926610 -0.055661 
-0.680360 0.586090 -0.000368 , 3.235100 -3.909399 -0.056159 
-0.715129 0.534908 -0.000380 , 3.254107 -3.892089 -0.056656 
-0.746520 0.481176 -0.000391 , 3.273031 -3.874681 -0.057152 
-0.774327 0.425107 -0.000400 , 3.291872 -3.857174 -0.057646 
-0.798357 0.366933 -0.000409 , 3.310630 -3.839570 -0.058139 
-0.818432 0.306906 -0.000417 , 3.329304 -3.821868 -0.058630 
-0.834390 0.245293 -0.000423 , 3.347893 -3.804069 -0.059120 
-0.846088 0.182383 -0.000428 , 3.366398 -3.786173 -0.059608 
-0.853403 0.118478 -0.000432 , 3.384817 -3.768181 -0.060095 
-0.856236 0.053896 -0.000435 , 3.403149 -3.750094 -0.060580 
-0.854514 -0.011033 -0.000437 , 3.421395 -3.731911 -0.061063 
-0.848190 -0.075967 -0.000437 , 3.439554 -3.713632 -0.061545 
-0.837250 -0.140560 -0.000436 , 3.457625 -3.695260 -0.062026 
-0.821708 -0.204458 -0.000434 , 3.475608 -3.676793 -0.062505 
-0.801611 -0.267308 -0.000430 , 3.493502 -3.658232 -0.062982 
-0.777038 -0.328758 -0.000425 , 3.511307 -3.639577 -0.063458 
-0.748103 -0.388463 -0.000420 , 3.529023 -3.620830 -0.063932 
-0.714951 -0.446091 -0.000413 , 3.546648 -3.601990 -0.064404 
-0.677760 -0.501321 -0.000405 , 3.564182 -3.583057 -0.064875 
-0.636735 -0.553852 -0.000396 , 3.581625 -3.564033 -0.065344 
-0.592112 -0.603404 -0.000387 , 3.598976 -3.544918 -0.065812 
-0.544151 -0.649723 -0.000377 , 3.616235 -3.525712 -0.066277 
-0.493133 -0.692583 -0.000367 , 3.633401 -3.506415 -0.066741 
-0.439358 -0.731788 -0.000356 , 3.650474 -3.487028 -0.067204 
-0.383140 -0.767174 -0.000345 , 3.667453 -3.467552 -0.067664 
-0.324802 -0.798612 -0.000334 , 3.684337 -3.447987 -0.068123 
-0.264676 -0.826005 -0.000324 , 3.701127 -3.428332 -0.068580 
-0.203092 -0.849289 -0.000314 , 3.717822 -3.408590 -0.069036 
-0.140379 -0.868435 -0.000304 , 3.734421 -3.388760 -0.069489 
-0.076862 -0.883444 -0.000295 , 3.750923 -3.368842 -0.069941 
-0.012855 -0.894347 -0.000287 , 3.767329 -3.348838 -0.070391 
0.051342 -0.901201 -0.000280 , 3.783638 -3.328747 -0.070839 
0.115440 -0.904092 -0.000274 , 3.799849 -3.308570 -0.071286 
0.179169 -0.903123 -0.000269 , 3.815961 -3.288307 -0.071730 
0.242278 -0.898421 -0.000267 , 3.831975 -3.267960 -0.072173 
0.304534 -0.890125 -0.000265 , 3.847890 -3.247528 -0.072614 
0.365724 -0.878392 -0.000266 , 3.863705 -3.227011 -0.073053 
0.425656 -0.863387 -0.000269 , 3.879420 -3.206412 -0.073490 
0.484160 -0.845282 -0.000274 , 3.895035 -3.185729 -0.073925 
0.541082 -0.824259 -0.000281 , 3.910548 -3.164963 -0.074358 
0.596290 -0.800500 -0.000291 , 3.925960 -3.144115 -0.074789 
0.649669 -0.774190 -0.000303 , 3.941270 -3.123186 -0.075218 
0.701124 -0.745512 -0.000317 , 3.956477 -3.102175 -0.075646 
0.750572 -0.714649 -0.000335 , 3.971582 -3.081084 -0.076071 
0.797948 -0.681781 -0.000355 , 3.986583 -3.059913 -0.076495 
0.843200 -0.647083 -0.000377 , 4.001480 -3.038661 -0.076916 
0.886289 -0.610724 -0.000403 , 4.016273 -3.017331 -0.077335 
0.927186 -0.572869 -0.000431 , 4.030961 -2.995922 -0.077753 
0.965874 -0.533677 -0.000463 , 4.045545 -2.974435 -0.078168 
1.002343 -0.493299 -0.000497 , 4.060022 -2.952870 -0.078581 
1.036593 -0.451879 -0.000534 , 4.074393 -2.931228 -0.078993 
1.068629 -0.409556 -0.000573 , 4.088658 -2.909509 -0.079402 
1.098464 -0.366461 -0.000616 , 4.102816 -2.887715 -0.079809 
1.126115 -0.322717 -0.000661 , 4.116867 -2.865844 -0.080214 
1.151604 -0.278442 -0.000709 , 4.130810 -2.843899 -0.080617 
1.174956 -0.233747 -0.000760 , 4.144644 -2.821879 -0.081018 
1.196199 -0.188736 -0.000814 , 4.158370 -2.799785 -0.081417 
1.215365 -0.143507 -0.000870 , 4.171987 -2.777618 -0.081813 
1.232487 -0.098153 -0.000928 , 4.185494 -2.755378 -0.082208 
1.247599 -0.052762 -0.000989 , 4.198892 -2.733065 -0.082600 
1.260738 -0.007414 -0.001052 , 4.212178 -2.710680 -0.082990 
1.271939 0.037814 -0.001118 , 4.225355 -2.688225 -0.083378 
1.281241 0.082848 -0.001185 , 4.238420 -2.665698 -0.083763 
1.288681 0.127621 -0.001255 , 4.251373 -2.643101 -0.084147 
1.294297 0.172069 -0.001326 , 4.264214 -2.620435 -0.084528 
1.298126 0.216132 -0.001400 , 4.276943 -2.597700 -0.084907 
1.300207 0.259752 -0.001475 , 4.289559 -2.574896 -0.085284 
1.300576 0.302877 -0.001552 , 4.302062 -2.552024 -0.085659 
1.299271 0.345454 -0.001630 , 4.314451 -2.529084 -0.086031 
1.296328 0.387435 -0.001710 , 4.326727 -2.506078 -0.086401 
1.291781 0.428776 -0.001791 , 4.338888 -2.483006 -0.086769 
1.285668 0.469432 -0.001873 , 4.350934 -2.459868 -0.087134 
1.278021 0.509361 -0.001957 , 4.362865 -2.436665 -0.087497 
1.268876 0.548525 -0.002041 , 4.374680 -2.413397 -0.087858 
1.258264 0.586883 -0.002126 , 4.386379 -2.390065 -0.088217 
1.246219 0.624401 -0.002212 , 4.397962 -2.366670 -0.088573 
1.232771 0.661041 -0.002298 , 4.409429 -2.343212 -0.088927 
1.217952 0.696769 -0.002385 , 4.420778 -2.319692 -0.089278 
1.201793 0.731552 -0.002472 , 4.432010 -2.296110 -0.089627 
1.184323 0.765357 -0.002559 , 4.443124 -2.272468 -0.089974 
1.165570 0.798151 -0.002646 , 4.454120 -2.248765 -0.090318 
1.145564 0.829902 -0.002734 , 4.464998 -2.225002 -0.090660 
1.124333 0.860579 -0.002821 , 4.475757 -2.201179 -0.091000 
1.101903 0.890151 -0.002907 , 4.486396 -2.177299 -0.091337 
1.078302 0.918586 -0.002994 , 4.496916 -2.153360 -0.091671 
1.053555 0.945852 -0.003079 , 4.507316 -2.129364 -0.092004 
1.027691 0.971919 -0.003164 , 4.517596 -2.105310 -0.092333 
1.000733 0.996754 -0.003248 , 4.527755 -2.081201 -0.092661 
0.972708 1.020325 -0.003331 , 4.537793 -2.057036 -0.092985 
0.943641 1.042599 -0.003412 , 4.547710 -2.032816 -0.093308 
0.913558 1.063542 -0.003492 , 4.557505 -2.008542 -0.093627 
0.882483 1.083119 -0.003571 , 4.567179 -1.984214 -0.093945 
0.850443 1.101296 -0.003647 , 4.576730 -1.959833 -0.094260 
0.817462 1.118035 -0.003722 , 4.586158 -1.935400 -0.094572 
0.783567 1.133298 -0.003795 , 4.595464 -1.910914 -0.094882 
0.748783 1.147046 -0.003865 , 4.604647 -1.886378 -0.095189 
0.713138 1.159237 -0.003932 , 4.613706 -1.861791 -0.095493 
0.676659 1.169829 -0.003997 , 4.622641 -1.837153 -0.095795 
0.639374 1.178776 -0.004059 , 4.631452 -1.812467 -0.096095 
0.601313 1.186031 -0.004118 , 4.640138 -1.787732 -0.096392 
0.562506 1.191543 -0.004173 , 4.648700 -1.762949 -0.096686 
0.522985 1.195261 -0.004224 , 4.657137 -1.738118 -0.096978 
0.482784 1.197128 -0.004271 , 4.665449 -1.713241 -0.097267 
0.441940 1.197085 -0.004314 , 4.673635 -1.688317 -0.097554 
0.400491 1.195069 -0.004352 , 4.681695 -1.663348 -0.097837 
0.358479 1.191014 -0.004385 , 4.689629 -1.638334 -0.098119 
0.315948 1.184847 -0.004413 , 4.697437 -1.613276 -0.098397 
0.272948 1.176493 -0.004435 , 4.705118 -1.588175 -0.098673 
0.229532 1.165870 -0.004450 , 4.712672 -1.563030 -0.098947 
0.185762 1.152889 -0.004459 , 4.720098 -1.537844 -0.099217 
0.141702 1.137456 -0.004461 , 4.727398 -1.512616 -0.099485 
0.097427 1.119470 -0.004455 , 4.734569 -1.487347 -0.099750 
0.053021 1.098820 -0.004440 , 4.741612 -1.462038 -0.100013 
0.008580 1.075388 -0.004416 , 4.748528 -1.436689 -0.100273 
-0.035788 1.049045 -0.004383 , 4.755314 -1.411301 -0.100530 
-0.079958 1.019654 -0.004339 , 4.761972 -1.385875 -0.100784 
-0.123785 0.987063 -0.004283 , 4.768501 -1.360412 -0.101036 
-0.167100 0.951110 -0.004215 , 4.774901 -1.334912 -0.101285 
-0.209706 0.911620 -0.004133 , 4.781171 -1.309375 -0.101531 
-0.251370 0.868404 -0.004037 , 4.787311 -1.283803 -0.101774 
-0.291812 0.821261 -0.003924 , 4.793322 -1.258197 -0.102015 
-0.330701 0.769976 -0.003794 , 4.799202 -1.232556 -0.102253 
-0.367636 0.714326 -0.003644 , 4.804952 -1.206881 -0.102488 
-0.402130 0.654086 -0.003472 , 4.810572 -1.181174 -0.102720 
-0.433590 0.589032 -0.003277 , 4.816060 -1.155435 -0.102950 
-0.461289 0.518968 -0.003057 , 4.821418 -1.129664 -0.103177 
-0.484333 0.443747 -0.002808 , 4.826644 -1.103862 -0.103401 
-0.501629 0.363320 -0.002528 , 4.831739 -1.078031 -0.103622 
