earth , jupiter 
0.926220 0.360994 0.000069 , 2.543760 -4.436837 -0.038506 
0.848159 0.515635 0.000063 , 2.608012 -4.395231 -0.040116 
0.744289 0.654584 0.000055 , 2.671682 -4.352645 -0.041717 
0.617673 0.773527 0.000045 , 2.734756 -4.309086 -0.043308 
0.472105 0.868736 0.000034 , 2.797218 -4.264563 -0.044890 
0.312002 0.937197 0.000022 , 2.859052 -4.219084 -0.046462 
0.142265 0.976716 0.000009 , 2.920244 -4.172656 -0.048024 
-0.031874 0.986006 -0.000004 , 2.980778 -4.125288 -0.049575 
-0.205026 0.964733 -0.000017 , 3.040639 -4.076989 -0.051114 
-0.371817 0.913533 -0.000030 , 3.099812 -4.027768 -0.052642 
-0.527075 0.833997 -0.000042 , 3.158283 -3.977635 -0.054158 
-0.665998 0.728615 -0.000052 , 3.216036 -3.926598 -0.055662 
-0.784315 0.600690 -0.000061 , 3.273058 -3.874667 -0.057153 
-0.878424 0.454224 -0.000067 , 3.329333 -3.821853 -0.058631 
-0.945501 0.293780 -0.000072 , 3.384848 -3.768165 -0.060095 
-0.983587 0.124327 -0.000075 , 3.439588 -3.713615 -0.061546 
-0.991632 -0.048924 -0.000075 , 3.493538 -3.658213 -0.062983 
-0.969523 -0.220687 -0.000073 , 3.546685 -3.601970 -0.064405 
-0.918064 -0.385770 -0.000069 , 3.599016 -3.544897 -0.065813 
-0.838936 -0.539228 -0.000063 , 3.650516 -3.487006 -0.067205 
-0.734637 -0.676507 -0.000055 , 3.701172 -3.428308 -0.068582 
-0.608386 -0.793574 -0.000045 , 3.750970 -3.368817 -0.069942 
-0.464027 -0.887022 -0.000034 , 3.799897 -3.308543 -0.071287 
-0.305901 -0.954156 -0.000022 , 3.847940 -3.247500 -0.072615 
-0.138724 -0.993064 -0.000009 , 3.895087 -3.185699 -0.073926 
0.032549 -1.002658 0.000004 , 3.941324 -3.123155 -0.075220 
0.202863 -0.982696 0.000017 , 3.986639 -3.059881 -0.076496 
0.367204 -0.933789 0.000029 , 4.031020 -2.995889 -0.077754 
0.520728 -0.857373 0.000040 , 4.074454 -2.931193 -0.078994 
0.658901 -0.755681 0.000050 , 4.116930 -2.865808 -0.080216 
0.777618 -0.631674 0.000059 , 4.158435 -2.799748 -0.081418 
0.873323 -0.488974 0.000066 , 4.198958 -2.733026 -0.082601 
0.943109 -0.331762 0.000071 , 4.238488 -2.665658 -0.083765 
0.984809 -0.164670 0.000074 , 4.277014 -2.597659 -0.084909 
0.997068 0.007343 0.000074 , 4.314524 -2.529042 -0.086033 
0.979396 0.179135 0.000072 , 4.351008 -2.459824 -0.087136 
0.932194 0.345525 0.000068 , 4.386456 -2.390020 -0.088219 
0.856760 0.501449 0.000062 , 4.420856 -2.319646 -0.089280 
0.755265 0.642118 0.000054 , 4.454200 -2.248717 -0.090320 
0.630700 0.763171 0.000045 , 4.486478 -2.177250 -0.091339 
0.486794 0.860820 0.000034 , 4.517679 -2.105261 -0.092335 
0.327910 0.931981 0.000021 , 4.547795 -2.032766 -0.093310 
0.158909 0.974381 0.000009 , 4.576817 -1.959781 -0.094262 
-0.015007 0.986645 -0.000004 , 4.604736 -1.886325 -0.095191 
-0.188457 0.968349 -0.000017 , 4.631543 -1.812413 -0.096097 
-0.356065 0.920035 -0.000030 , 4.657230 -1.738063 -0.096980 
-0.512635 0.843205 -0.000041 , 4.681790 -1.663291 -0.097840 
-0.653329 0.740260 -0.000052 , 4.705215 -1.588117 -0.098676 
-0.773821 0.614426 -0.000060 , 4.727496 -1.512557 -0.099488 
-0.870440 0.469638 -0.000067 , 4.748628 -1.436629 -0.100275 
