earth , jupiter 
0.926220 0.360994 0.000069 , 2.543760 -4.436837 -0.038506 
0.903318 0.413755 0.000067 , 2.565240 -4.423078 -0.039043 
0.877370 0.465121 0.000065 , 2.586657 -4.409210 -0.039580 
0.848461 0.514915 0.000063 , 2.608009 -4.395232 -0.040116 
0.816682 0.562966 0.000061 , 2.629298 -4.381145 -0.040650 
0.782136 0.609109 0.000058 , 2.650521 -4.366950 -0.041184 
0.744936 0.653184 0.000055 , 2.671678 -4.352647 -0.041717 
0.705203 0.695036 0.000052 , 2.692769 -4.338235 -0.042248 
0.663069 0.734520 0.000048 , 2.713793 -4.323716 -0.042779 
0.618672 0.771496 0.000045 , 2.734749 -4.309090 -0.043308 
0.572161 0.805834 0.000041 , 2.755638 -4.294356 -0.043837 
0.523690 0.837410 0.000037 , 2.776458 -4.279515 -0.044364 
0.473421 0.866111 0.000034 , 2.797209 -4.264568 -0.044890 
0.421526 0.891833 0.000029 , 2.817890 -4.249514 -0.045415 
0.368179 0.914482 0.000025 , 2.838501 -4.234355 -0.045939 
0.313561 0.933974 0.000021 , 2.859041 -4.219089 -0.046462 
0.257860 0.950235 0.000017 , 2.879509 -4.203719 -0.046984 
0.201265 0.963204 0.000012 , 2.899906 -4.188243 -0.047504 
0.143973 0.972829 0.000008 , 2.920230 -4.172663 -0.048024 
0.086180 0.979071 0.000003 , 2.940481 -4.156978 -0.048542 
0.028088 0.981903 -0.000001 , 2.960658 -4.141189 -0.049058 
-0.030102 0.981308 -0.000006 , 2.980762 -4.125296 -0.049574 
-0.088186 0.977283 -0.000010 , 3.000790 -4.109300 -0.050089 
-0.145961 0.969837 -0.000015 , 3.020743 -4.093201 -0.050602 
-0.203224 0.958991 -0.000019 , 3.040620 -4.076998 -0.051114 
-0.259773 0.944779 -0.000023 , 3.060421 -4.060694 -0.051624 
-0.315408 0.927244 -0.000028 , 3.080145 -4.044287 -0.052133 
-0.369933 0.906445 -0.000032 , 3.099792 -4.027779 -0.052641 
-0.423154 0.882452 -0.000036 , 3.119360 -4.011169 -0.053148 
-0.474882 0.855345 -0.000040 , 3.138850 -3.994458 -0.053653 
-0.524932 0.825217 -0.000044 , 3.158260 -3.977646 -0.054157 
-0.573127 0.792171 -0.000048 , 3.177591 -3.960734 -0.054660 
-0.619293 0.756322 -0.000051 , 3.196842 -3.943722 -0.055161 
-0.663266 0.717795 -0.000055 , 3.216011 -3.926610 -0.055661 
-0.704890 0.676725 -0.000058 , 3.235100 -3.909399 -0.056159 
-0.744014 0.633256 -0.000061 , 3.254107 -3.892089 -0.056656 
-0.780501 0.587541 -0.000063 , 3.273031 -3.874681 -0.057152 
-0.814218 0.539741 -0.000066 , 3.291872 -3.857174 -0.057646 
-0.845047 0.490026 -0.000068 , 3.310630 -3.839570 -0.058139 
-0.872877 0.438573 -0.000070 , 3.329304 -3.821868 -0.058630 
-0.897611 0.385563 -0.000072 , 3.347893 -3.804069 -0.059120 
-0.919160 0.331185 -0.000074 , 3.366398 -3.786173 -0.059608 
-0.937450 0.275632 -0.000075 , 3.384817 -3.768181 -0.060095 
-0.952417 0.219102 -0.000076 , 3.403149 -3.750094 -0.060580 
-0.964008 0.161794 -0.000077 , 3.421395 -3.731911 -0.061063 
-0.972187 0.103914 -0.000078 , 3.439554 -3.713632 -0.061545 
-0.976925 0.045665 -0.000078 , 3.457625 -3.695260 -0.062026 
-0.978208 -0.012746 -0.000078 , 3.475608 -3.676793 -0.062505 
-0.976037 -0.071113 -0.000078 , 3.493502 -3.658232 -0.062982 
-0.970421 -0.129229 -0.000077 , 3.511307 -3.639577 -0.063458 
-0.961384 -0.186890 -0.000077 , 3.529023 -3.620830 -0.063932 
-0.948963 -0.243895 -0.000076 , 3.546648 -3.601990 -0.064404 
-0.933205 -0.300042 -0.000074 , 3.564182 -3.583057 -0.064875 
-0.914170 -0.355137 -0.000073 , 3.581625 -3.564033 -0.065344 
-0.891929 -0.408987 -0.000071 , 3.598976 -3.544918 -0.065812 
-0.866566 -0.461407 -0.000069 , 3.616235 -3.525712 -0.066277 
-0.838174 -0.512214 -0.000067 , 3.633401 -3.506415 -0.066741 
-0.806856 -0.561235 -0.000064 , 3.650474 -3.487028 -0.067204 
-0.772728 -0.608303 -0.000062 , 3.667453 -3.467552 -0.067664 
-0.735912 -0.653256 -0.000059 , 3.684337 -3.447987 -0.068123 
-0.696542 -0.695943 -0.000056 , 3.701127 -3.428332 -0.068580 
-0.654757 -0.736219 -0.000053 , 3.717822 -3.408590 -0.069036 
-0.610708 -0.773951 -0.000049 , 3.734421 -3.388760 -0.069489 
-0.564551 -0.809013 -0.000046 , 3.750923 -3.368842 -0.069941 
-0.516448 -0.841289 -0.000042 , 3.767329 -3.348838 -0.070391 
-0.466568 -0.870674 -0.000038 , 3.783638 -3.328747 -0.070839 
-0.415087 -0.897073 -0.000034 , 3.799849 -3.308570 -0.071286 
-0.362184 -0.920400 -0.000030 , 3.815961 -3.288307 -0.071730 
-0.308042 -0.940584 -0.000026 , 3.831975 -3.267960 -0.072173 
-0.252848 -0.957560 -0.000022 , 3.847890 -3.247528 -0.072614 
-0.196792 -0.971277 -0.000018 , 3.863705 -3.227011 -0.073053 
-0.140066 -0.981695 -0.000014 , 3.879420 -3.206412 -0.073490 
-0.082864 -0.988785 -0.000009 , 3.895035 -3.185729 -0.073925 
-0.025380 -0.992529 -0.000005 , 3.910548 -3.164963 -0.074358 
0.032191 -0.992920 -0.000001 , 3.925960 -3.144115 -0.074789 
0.089655 -0.989963 0.000004 , 3.941270 -3.123186 -0.075218 
0.146819 -0.983674 0.000008 , 3.956477 -3.102175 -0.075646 
0.203490 -0.974080 0.000012 , 3.971582 -3.081084 -0.076071 
0.259480 -0.961218 0.000016 , 3.986583 -3.059913 -0.076495 
0.314602 -0.945136 0.000020 , 4.001480 -3.038662 -0.076916 
0.368673 -0.925893 0.000024 , 4.016273 -3.017331 -0.077335 
0.421515 -0.903558 0.000028 , 4.030961 -2.995922 -0.077753 
0.472951 -0.878209 0.000031 , 4.045545 -2.974435 -0.078168 
0.522813 -0.849935 0.000035 , 4.060022 -2.952870 -0.078581 
0.570937 -0.818834 0.000038 , 4.074394 -2.931228 -0.078993 
0.617164 -0.785011 0.000042 , 4.088658 -2.909509 -0.079402 
0.661344 -0.748583 0.000045 , 4.102816 -2.887715 -0.079809 
0.703330 -0.709672 0.000047 , 4.116867 -2.865844 -0.080214 
0.742987 -0.668409 0.000050 , 4.130810 -2.843899 -0.080617 
0.780185 -0.624933 0.000053 , 4.144644 -2.821879 -0.081018 
0.814801 -0.579389 0.000055 , 4.158370 -2.799785 -0.081417 
0.846722 -0.531930 0.000057 , 4.171987 -2.777618 -0.081813 
0.875845 -0.482712 0.000059 , 4.185494 -2.755378 -0.082208 
0.902075 -0.431900 0.000060 , 4.198892 -2.733065 -0.082600 
0.925324 -0.379661 0.000062 , 4.212179 -2.710680 -0.082990 
0.945516 -0.326168 0.000063 , 4.225355 -2.688225 -0.083378 
0.962585 -0.271599 0.000063 , 4.238420 -2.665698 -0.083763 
0.976475 -0.216133 0.000064 , 4.251373 -2.643101 -0.084147 
0.987138 -0.159954 0.000064 , 4.264214 -2.620435 -0.084528 
0.994539 -0.103247 0.000064 , 4.276943 -2.597700 -0.084907 
0.998651 -0.046200 0.000064 , 4.289559 -2.574896 -0.085284 
0.999460 0.010999 0.000064 , 4.302062 -2.552024 -0.085659 
0.996961 0.068161 0.000063 , 4.314452 -2.529085 -0.086031 
0.991159 0.125095 0.000062 , 4.326727 -2.506078 -0.086401 
0.982072 0.181614 0.000061 , 4.338888 -2.483006 -0.086769 
0.969726 0.237529 0.000060 , 4.350934 -2.459868 -0.087134 
0.954159 0.292653 0.000058 , 4.362865 -2.436665 -0.087497 
0.935420 0.346803 0.000056 , 4.374680 -2.413397 -0.087858 
0.913567 0.399797 0.000054 , 4.386379 -2.390065 -0.088217 
0.888669 0.451457 0.000052 , 4.397963 -2.366670 -0.088573 
0.860805 0.501608 0.000049 , 4.409429 -2.343212 -0.088927 
0.830064 0.550082 0.000047 , 4.420778 -2.319692 -0.089278 
0.796544 0.596712 0.000044 , 4.432010 -2.296111 -0.089627 
