name mass x y z vx vy vz
earth 6E+24 9.262199506181060E-01  3.609936740486734E-01  6.921584209692388E-05 -6.403107634130895E-03  1.601097224186860E-02 -5.128128637208299E-07
jupiter 1.9E+27 2.543759756997490E+00 -4.436837120730879E+00 -3.850564829794755E-02  6.453494243980745E-03  4.111282431070121E-03 -1.614256614993356E-04
mars 6.6E+23 1.317694036702350E+00  5.095586039622440E-01 -2.184232430049441E-02 -4.443167761953623E-03  1.427057324363628E-02  4.082012221890256E-04
venus 4.9E+24 -1.818409715773409E-01  7.033056448519796E-01  1.979341659665792E-02 -1.968808181824821E-02 -5.064163398778412E-03  1.066495262682488E-03
saturn 5.5E+26 5.135083368485274E+00 -8.569415434330988E+00 -5.543228595240730E-02  4.474755292713608E-03  2.853231507843075E-03 -2.278004001812449E-04
mercury 3.3E+23 3.443958137461012E-01 -1.517001662741849E-01 -4.498414301334686E-02  6.069745704675881E-03  2.691395787774580E-02  1.642464711326913E-03
uranus 8.8E+25 1.553976952074652E+01  1.223945876590163E+01 -1.558619799609157E-01 -2.462495130987665E-03  2.906544144347438E-03  4.269692734222983E-05
neptune 1.03E+26  2.941117621056177E+01 -5.471286870419173E+00 -5.651389850707894E-01  5.532996489483095E-04  3.104830980787204E-03 -7.668889774672145E-05
pluto 1.46E+22 1.382178380645186E+01 -3.120039348107149E+01 -6.594510256414752E-01  2.943148478105730E-03  5.992192614131419E-04 -9.154592778132275E-04
sun 2E+30 -6.093350996123501E-03  6.430843312568941E-03  8.850078057804384E-05 -7.293931051215441E-06 -5.073330938976444E-06  2.183325867211522E-07
